CustomerID,RepeatPurchase,prediction,probability
12349.0,1,1.0,"[0.19077834872634178,0.8092216512736582]"
12354.0,0,1.0,"[0.22949085244957101,0.770509147550429]"
12356.0,1,1.0,"[0.1602072203641121,0.8397927796358879]"
12361.0,0,0.0,"[0.5932695650249762,0.4067304349750238]"
12370.0,1,1.0,"[0.09687604653551256,0.9031239534644875]"
12374.0,1,1.0,"[0.33105799329960556,0.6689420067003944]"
12381.0,1,1.0,"[0.17266562265253352,0.8273343773474665]"
12391.0,1,1.0,"[0.2681543757418056,0.7318456242581943]"
12405.0,0,1.0,"[0.20752672207820178,0.7924732779217982]"
12406.0,1,1.0,"[0.11296119553832899,0.887038804461671]"
12407.0,1,1.0,"[0.1874168515023267,0.8125831484976733]"
12409.0,1,1.0,"[0.06741163452421708,0.9325883654757829]"
12412.0,1,1.0,"[0.2168475872101853,0.7831524127898147]"
12417.0,1,1.0,"[0.09747440698297759,0.9025255930170224]"
12425.0,1,1.0,"[0.2893391548217593,0.7106608451782407]"
12432.0,1,1.0,"[0.10459503736035768,0.8954049626396423]"
12442.0,1,0.0,"[0.5966205004250327,0.4033794995749673]"
12472.0,1,1.0,"[0.05620379681357411,0.9437962031864259]"
12488.0,1,1.0,"[0.23174739825981092,0.7682526017401891]"
12492.0,1,1.0,"[0.49409044791881507,0.5059095520811849]"
12493.0,0,1.0,"[0.43309279861951727,0.5669072013804828]"
12494.0,1,1.0,"[0.2067582556089493,0.7932417443910507]"
12510.0,0,1.0,"[0.2976377021828922,0.7023622978171078]"
12513.0,0,1.0,"[0.3281998996646123,0.6718001003353877]"
12538.0,1,1.0,"[0.42267443656213255,0.5773255634378675]"
12548.0,0,0.0,"[0.7558541825445194,0.24414581745548058]"
12553.0,1,1.0,"[0.09310353607625002,0.90689646392375]"
12559.0,0,1.0,"[0.3851749747498883,0.6148250252501117]"
12562.0,1,1.0,"[0.09870834100922599,0.901291658990774]"
12578.0,1,1.0,"[0.12788077477863502,0.872119225221365]"
12584.0,1,1.0,"[0.1509171557242547,0.8490828442757453]"
12600.0,1,1.0,"[0.16921235322033445,0.8307876467796655]"
12610.0,1,1.0,"[0.15558865347026563,0.8444113465297344]"
12618.0,1,0.0,"[0.6110446390743164,0.3889553609256836]"
12623.0,0,1.0,"[0.4797255137319774,0.5202744862680226]"
12643.0,0,1.0,"[0.2854278250754693,0.7145721749245306]"
12658.0,1,1.0,"[0.31263101143116273,0.6873689885688372]"
12664.0,1,1.0,"[0.16474664966750413,0.8352533503324959]"
12668.0,1,1.0,"[0.10085703774266674,0.8991429622573333]"
12670.0,1,1.0,"[0.13286500890879058,0.8671349910912094]"
12674.0,1,1.0,"[0.1628278620427824,0.8371721379572176]"
12678.0,1,1.0,"[0.05723999176121959,0.9427600082387804]"
12703.0,1,1.0,"[0.4647664790352495,0.5352335209647505]"
12707.0,0,1.0,"[0.3227734827805082,0.6772265172194918]"
12708.0,1,1.0,"[0.11655665794894905,0.8834433420510509]"
12713.0,1,1.0,"[0.28482610378112455,0.7151738962188754]"
12715.0,0,1.0,"[0.4709807601784908,0.5290192398215092]"
12727.0,1,1.0,"[0.10393387976336203,0.896066120236638]"
12729.0,0,1.0,"[0.3896473525197572,0.6103526474802428]"
12744.0,1,1.0,"[0.05730129622642922,0.9426987037735708]"
12759.0,1,1.0,"[0.17603498088888542,0.8239650191111145]"
12763.0,0,1.0,"[0.40254678910331815,0.5974532108966819]"
12770.0,0,1.0,"[0.3288935277792182,0.6711064722207818]"
12783.0,1,1.0,"[0.18794318215327668,0.8120568178467233]"
12817.0,0,0.0,"[0.7166648937478112,0.28333510625218883]"
12827.0,1,1.0,"[0.3861248837964667,0.6138751162035333]"
12833.0,0,1.0,"[0.3935693825186902,0.6064306174813098]"
12851.0,0,1.0,"[0.4885057999910735,0.5114942000089264]"
12871.0,1,1.0,"[0.48193901161878,0.51806098838122]"
12881.0,0,0.0,"[0.6863185923723037,0.31368140762769625]"
12895.0,1,1.0,"[0.41521994744301943,0.5847800525569806]"
12897.0,0,0.0,"[0.6397243009125856,0.3602756990874144]"
12913.0,1,1.0,"[0.1721916347808969,0.8278083652191031]"
12923.0,1,1.0,"[0.4812097220565507,0.5187902779434492]"
12929.0,0,0.0,"[0.6481201118545424,0.35187988814545756]"
12933.0,1,1.0,"[0.22682729141553395,0.7731727085844661]"
12950.0,1,1.0,"[0.2556953355561316,0.7443046644438684]"
12963.0,1,1.0,"[0.1510817412152743,0.8489182587847257]"
12966.0,1,0.0,"[0.5934762900691545,0.4065237099308455]"
12970.0,1,1.0,"[0.24447550001027799,0.755524499989722]"
12976.0,0,1.0,"[0.3386037302377733,0.6613962697622267]"
12984.0,1,0.0,"[0.7218932369048763,0.2781067630951237]"
12990.0,1,1.0,"[0.45671219547400416,0.5432878045259959]"
13000.0,0,1.0,"[0.34881145033387745,0.6511885496661225]"
13008.0,0,0.0,"[0.5183445208569466,0.4816554791430534]"
13011.0,0,0.0,"[0.7958112879417676,0.2041887120582324]"
13013.0,1,1.0,"[0.07314110755972071,0.9268588924402793]"
13018.0,1,1.0,"[0.04528292060254073,0.9547170793974593]"
13021.0,1,1.0,"[0.11782101363153193,0.882178986368468]"
13026.0,1,1.0,"[0.2989541691716782,0.7010458308283218]"
13030.0,1,1.0,"[0.22562962871639267,0.7743703712836073]"
13032.0,1,1.0,"[0.21235996219493994,0.7876400378050601]"
13059.0,0,0.0,"[0.5987450747375485,0.40125492526245155]"
13075.0,0,1.0,"[0.31551449386291797,0.684485506137082]"
13082.0,0,1.0,"[0.168230298906046,0.831769701093954]"
13089.0,1,1.0,"[0.009808188947180827,0.9901918110528192]"
13107.0,1,1.0,"[0.1939782937594857,0.8060217062405143]"
13115.0,1,1.0,"[0.13027604351522684,0.8697239564847732]"
13120.0,0,0.0,"[0.8691345787537984,0.1308654212462016]"
13121.0,0,1.0,"[0.36474897387687755,0.6352510261231225]"
13124.0,1,1.0,"[0.08229731756450906,0.9177026824354909]"
13132.0,0,0.0,"[0.761324737715063,0.23867526228493696]"
13134.0,1,1.0,"[0.15150592009776573,0.8484940799022342]"
13137.0,1,1.0,"[0.05266102606686417,0.9473389739331358]"
13141.0,1,1.0,"[0.11992287019613106,0.880077129803869]"
13148.0,1,1.0,"[0.07317708421175771,0.9268229157882423]"
13162.0,0,1.0,"[0.17190280516379305,0.8280971948362069]"
13168.0,1,1.0,"[0.15765954053523837,0.8423404594647617]"
13184.0,1,1.0,"[0.12897212477777525,0.8710278752222247]"
13186.0,1,1.0,"[0.17539263903054567,0.8246073609694543]"
13189.0,1,1.0,"[0.480765666140448,0.519234333859552]"
13193.0,1,0.0,"[0.5677372269792713,0.4322627730207287]"
13207.0,1,0.0,"[0.5626541203148611,0.43734587968513894]"
13211.0,1,1.0,"[0.2242006639700117,0.7757993360299883]"
13216.0,0,0.0,"[0.5717518586796952,0.42824814132030475]"
13221.0,0,1.0,"[0.23225123788364496,0.767748762116355]"
13229.0,0,0.0,"[0.5929250147497174,0.40707498525028263]"
13244.0,0,0.0,"[0.5266493239098323,0.4733506760901677]"
13245.0,1,1.0,"[0.4301860859253496,0.5698139140746503]"
13247.0,1,1.0,"[0.3689616877601208,0.6310383122398793]"
13279.0,1,0.0,"[0.6203931899741765,0.3796068100258235]"
13280.0,0,1.0,"[0.22108487180171335,0.7789151281982867]"
13297.0,1,1.0,"[0.17072762098496538,0.8292723790150346]"
13301.0,0,1.0,"[0.2449144447146645,0.7550855552853355]"
13307.0,0,0.0,"[0.9019915327957783,0.09800846720422174]"
13309.0,1,1.0,"[0.1622276299429139,0.837772370057086]"
13316.0,1,1.0,"[0.11495055595719768,0.8850494440428023]"
13323.0,1,1.0,"[0.3359743517847098,0.6640256482152902]"
13340.0,1,1.0,"[0.06680743351305674,0.9331925664869433]"
13345.0,0,1.0,"[0.44089519084161977,0.5591048091583802]"
13348.0,1,0.0,"[0.5161370398141261,0.48386296018587394]"
13354.0,1,1.0,"[0.2642651114772842,0.7357348885227157]"
13365.0,1,1.0,"[0.1280185749802802,0.8719814250197198]"
13388.0,0,1.0,"[0.31604783896635746,0.6839521610336425]"
13397.0,1,1.0,"[0.23191474916039542,0.7680852508396045]"
13414.0,0,1.0,"[0.3672001370442271,0.632799862955773]"
13417.0,1,1.0,"[0.3315111736888041,0.6684888263111959]"
13420.0,0,0.0,"[0.6143734232749801,0.3856265767250199]"
13426.0,1,1.0,"[0.09419958081297625,0.9058004191870237]"
13430.0,1,1.0,"[0.29140592860133585,0.7085940713986641]"
13448.0,1,1.0,"[0.08846299876424103,0.911537001235759]"
13467.0,1,1.0,"[0.18599173169149408,0.8140082683085059]"
13479.0,0,1.0,"[0.47904626742950557,0.5209537325704945]"
13482.0,0,0.0,"[0.5678706887265035,0.4321293112734965]"
13486.0,1,1.0,"[0.20735616429344644,0.7926438357065535]"
13489.0,0,1.0,"[0.49737268120620515,0.5026273187937949]"
13491.0,1,1.0,"[0.1918189710596249,0.8081810289403751]"
13497.0,0,1.0,"[0.43796690463740984,0.5620330953625902]"
13515.0,1,1.0,"[0.23645496219842446,0.7635450378015756]"
13516.0,1,1.0,"[0.2833387031684398,0.7166612968315602]"
13529.0,1,0.0,"[0.5385378988532586,0.46146210114674135]"
13533.0,0,1.0,"[0.33153454733051196,0.668465452669488]"
13536.0,1,1.0,"[0.09191391148958553,0.9080860885104145]"
13548.0,0,1.0,"[0.20749206741719772,0.7925079325828023]"
13549.0,1,1.0,"[0.2450964951062807,0.7549035048937193]"
13561.0,0,0.0,"[0.5750920181012602,0.4249079818987398]"
13566.0,1,1.0,"[0.16772793633953087,0.8322720636604691]"
13570.0,0,1.0,"[0.44628071776649925,0.5537192822335008]"
13590.0,1,1.0,"[0.16284416916406116,0.8371558308359388]"
13600.0,0,1.0,"[0.49267746593969586,0.5073225340603041]"
13602.0,1,1.0,"[0.39465979894696057,0.6053402010530394]"
13614.0,1,1.0,"[0.13394989198446194,0.8660501080155381]"
13618.0,0,0.0,"[0.581918569942414,0.418081430057586]"
13635.0,1,1.0,"[0.2173325936474937,0.7826674063525063]"
13650.0,1,1.0,"[0.15118473817958236,0.8488152618204177]"
13663.0,0,0.0,"[0.5484696581797116,0.4515303418202884]"
13670.0,1,1.0,"[0.4098379575861395,0.5901620424138605]"
13672.0,0,0.0,"[0.6226306222684254,0.37736937773157464]"
13681.0,1,1.0,"[0.2455763673922435,0.7544236326077565]"
13705.0,1,1.0,"[0.35197502951341625,0.6480249704865837]"
13706.0,0,1.0,"[0.4591678002304942,0.5408321997695058]"
13711.0,0,0.0,"[0.514569367609266,0.48543063239073403]"
13712.0,0,0.0,"[0.5518766645353191,0.44812333546468086]"
13717.0,1,1.0,"[0.17341613592603794,0.826583864073962]"
13719.0,1,1.0,"[0.22524925893954453,0.7747507410604555]"
13721.0,1,1.0,"[0.35316068694056607,0.6468393130594339]"
13722.0,0,1.0,"[0.14437157671303866,0.8556284232869613]"
13726.0,1,1.0,"[0.2514420133506504,0.7485579866493496]"
13739.0,1,0.0,"[0.6613594816329414,0.33864051836705855]"
13744.0,0,1.0,"[0.21983496104331443,0.7801650389566855]"
13747.0,0,0.0,"[0.8091511211047072,0.19084887889529278]"
13751.0,0,0.0,"[0.531460735949108,0.46853926405089197]"
13761.0,1,1.0,"[0.20873332630374916,0.7912666736962508]"
13764.0,1,1.0,"[0.124259914723819,0.875740085276181]"
13769.0,1,1.0,"[0.1142807067623238,0.8857192932376762]"
13784.0,1,1.0,"[0.22870245584944968,0.7712975441505503]"
13799.0,0,1.0,"[0.29433891886109126,0.7056610811389088]"
13800.0,0,1.0,"[0.34009256706479263,0.6599074329352074]"
13805.0,1,0.0,"[0.5141702463838255,0.48582975361617453]"
13813.0,1,1.0,"[0.20698953384797267,0.7930104661520273]"
13814.0,0,1.0,"[0.20026513655242245,0.7997348634475776]"
13817.0,1,1.0,"[0.4298019496564481,0.570198050343552]"
13819.0,0,1.0,"[0.2530947223467925,0.7469052776532075]"
13824.0,1,1.0,"[0.20163107400694905,0.798368925993051]"
13849.0,1,1.0,"[0.1609572683020483,0.8390427316979517]"
13860.0,1,1.0,"[0.19294925700828292,0.8070507429917171]"
13863.0,0,1.0,"[0.44805108772972396,0.5519489122702761]"
13868.0,1,1.0,"[0.3517338906291877,0.6482661093708123]"
13869.0,0,1.0,"[0.07821024941752826,0.9217897505824717]"
13882.0,1,1.0,"[0.21876906558617307,0.781230934413827]"
13883.0,1,1.0,"[0.11270024446590722,0.8872997555340928]"
13885.0,0,1.0,"[0.35684599873102263,0.6431540012689774]"
13888.0,0,1.0,"[0.30899127679111854,0.6910087232088815]"
13898.0,0,0.0,"[0.6167835328540161,0.3832164671459839]"
13899.0,1,1.0,"[0.4250684297934534,0.5749315702065466]"
13900.0,0,1.0,"[0.2788184089093112,0.7211815910906888]"
13901.0,1,1.0,"[0.11020036403369002,0.88979963596631]"
13908.0,1,1.0,"[0.12608972824535933,0.8739102717546406]"
13914.0,1,1.0,"[0.32319909553962256,0.6768009044603774]"
13919.0,1,1.0,"[0.4159043582181112,0.5840956417818888]"
